X,beta,r0,eta0,zeta0,Xout
dt=3fb604e3e700545d
3fc087c0cdf864a5,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe02a2597a22495
3fc5ff6a3413e515,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe10cfa20b3857e
3fcb77139a2f6585,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe1fe79620cd347
3fd0775e802572fb,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe301ca217f8d44
3fd3333333333333,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe41b9f71d6d470
3f50624dd2f1a9fc,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fdb8eecf571d688
3fa661b807058f11,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fdd1127c44f18dd
3fb6202ecfb9c869,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fdea73c52c5530d
3fc087c0cdf864a5,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe0295a31e385ea
3fc5ff6a3413e515,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe10af76da4d05b
3fcb77139a2f6585,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe1fa39a4880baf
3fd0775e802572fb,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe2f9baa1ffd4a0
3fd3333333333333,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe40d54d6c64d2d
3f50624dd2f1a9fc,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fdb8eecf5674eca
3fa661b807058f11,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fdd1119b555491c
3fb6202ecfb9c869,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fdea6c9bc03e9ff
3fc087c0cdf864a5,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe0288f08a3af2d
3fc5ff6a3413e515,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe108f5f8d8b9c7
3fcb77139a2f6585,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe1f5feb82fbae6
