X,beta,r0,eta0,zeta0,Xout
dt=3fb604e3e700545d
3fc087c0cdf864a5,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe9445c5de5bf4a
3fc5ff6a3413e515,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfd0000000000000,3feb8099e1fe9ec0
3fcb77139a2f6585,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfd0000000000000,3feeec1142708c97
3fd0775e802572fb,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfd0000000000000,3ff35ad51d63cd0d
3fd3333333333333,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfd0000000000000,fff8000000000000
3f50624dd2f1a9fc,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe4ef8f1df0fe80
3fa661b807058f11,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe627399af6587b
3fb6202ecfb9c869,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe7880c6883ad1c
3fc087c0cdf864a5,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe92a6e83b5b15e
3fc5ff6a3413e515,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfd0000000000000,3feb3fa7963bd572
3fcb77139a2f6585,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fee426fe0e75c98
3fd0775e802572fb,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfd0000000000000,3ff206cf2e643ab0
3fd3333333333333,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfd0000000000000,fff8000000000000
3f50624dd2f1a9fc,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe4ef8ee852b611
3fa661b807058f11,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe6255e33571e08
3fb6202ecfb9c869,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe77f27436bbae6
3fc087c0cdf864a5,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfd0000000000000,3fe910f492906bd8
3fc5ff6a3413e515,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfd0000000000000,3feb016039f03e04
3fcb77139a2f6585,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfd0000000000000,3feda8ff75c428f4
3fd0775e802572fb,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfd0000000000000,3ff1119fe13fdb06
3fd3333333333333,4007ffffffffffff,3fc999999999999a,bfd0000000000000,bfd0000000000000,3ffc2ceaed370f9c
3f50624dd2f1a9fc,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe4ee782b7ac336
3fa661b807058f11,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe5f93349d9f433
3fb6202ecfb9c869,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe730f6c46b7087
3fc087c0cdf864a5,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe8b07b4a4dcfd7
3fc5ff6a3413e515,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3feaafee642a2230
3fcb77139a2f6585,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fedc5530e1d0f52
3fd0775e802572fb,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3ff2536f5e4d7c40
3fd3333333333333,3f847ae147ae147b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,fff8000000000000
3f50624dd2f1a9fc,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe4ee77f5e76193
3fa661b807058f11,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe5f7675805754e
3fb6202ecfb9c869,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe7289896dd0f80
3fc087c0cdf864a5,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe89905638dd5ae
3fc5ff6a3413e515,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fea7715a66a6375
3fcb77139a2f6585,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fed363a2c04ef5c
3fd0775e802572fb,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3ff148218f38e9a3
3fd3333333333333,3fdbfa2608c6f2d6,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,fff8000000000000
3f50624dd2f1a9fc,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe4ee77c0540204
3fa661b807058f11,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe5f59bff72d200
3fb6202ecfb9c869,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe7204731a0f6dd
3fc087c0cdf864a5,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe881f0fef3c2e6
3fc5ff6a3413e515,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fea405b14691247
3fcb77139a2f6585,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fecb3346fb84b6d
3fd0775e802572fb,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3ff07c83e1f76313
3fd3333333333333,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,fff8000000000000
3f50624dd2f1a9fc,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe4ee778ac0a490
3fa661b807058f11,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe5f3d13fcb0087
3fb6202ecfb9c869,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe718027339e01b
3fc087c0cdf864a5,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe86b3b6358a770
3fc5ff6a3413e515,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fea0b9c0def547f
3fcb77139a2f6585,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fec3a8b4f59ca71
3fd0775e802572fb,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fefb24dad11c6b1
3fd3333333333333,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3ff45859eb63c113
3f50624dd2f1a9fc,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe4ee77552d4935
3fa661b807058f11,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe5f20718b73e4e
3fb6202ecfb9c869,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe70fca3aa89e0f
3fc087c0cdf864a5,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe854e1f36c62c1
3fc5ff6a3413e515,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe9d8b9127bbd5b
3fcb77139a2f6585,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3febcaddaef6bf59
3fd0775e802572fb,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3feea2f95af99c14
3fd3333333333333,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3ff21dec812bd80d
3f50624dd2f1a9fc,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe4ee771f99efeb
3fa661b807058f11,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe5f03d89e10f8b
3fb6202ecfb9c869,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe7079e6769b02a
3fc087c0cdf864a5,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe83ee22c440bd3
3fc5ff6a3413e515,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fe9a79564d097d4
3fcb77139a2f6585,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3feb630b28e4cc67
3fd0775e802572fb,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3fedbc03c28740ca
3fd3333333333333,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfc6db6db6db6db7,3ff0cb2535f6a159
